PCTimeStamp       ,P_HD1,P_HD2,P_HD3,P_HD4,P_HD5,P_HD6,P_HD7,P_HD8
2024-04-01 0:00,0.313142736,0.066780314,0.377192284,0.16980563,0.339420133,0.193235101,0.141797894,0.141797894
2024-04-01 0:10,0.156583879,0,0.079757636,0,0.081981309,0.099291211,0,0
2024-04-01 0:20,0.221753821,0,0,0,0,0,0,0
2024-04-01 0:30,0.194028926,0.101187322,0.041689234,0.066218056,0,0,0,0
2024-04-01 0:40,0.180122123,0.222590872,0,0.146788412,0,0.089671707,0.078578778,0.078578778
2024-04-01 0:50,0.137743811,0.14822539,0,0.242617103,0,0.071179691,0.087844139,0.087844139
2024-04-01 1:00,0.158054202,0,0,0.13234422,0,0,0.083174369,0.083174369
2024-04-01 1:10,0.301386975,0,0,0.046153772,0,0,0,0
2024-04-01 1:20,0.196218313,0.064538691,0,0.06080076,0,0.072327056,0.079757636,0.079757636
2024-04-01 1:30,0.158054202,0.106137056,0,0.143217581,0.080793188,0.087844139,0.170562096,0.170562096
2024-04-01 1:40,0.033527661,0,0,0,0,0,0,0
2024-04-01 1:50,0.055500869,0,0,0,0,0,0,0
2024-04-01 2:00,0.188498085,0,0,0,0,0,0,0
2024-04-01 2:10,0.165292771,0,0.04926982,0,0.137042921,0,0,0
2024-04-01 2:20,0.242617103,0,0,0,0,0,0,0
2024-04-01 2:30,0.158791216,0,0,0,0,0,0,0
2024-04-01 2:40,0.111324266,0,0,0,0,0,0,0
2024-04-01 2:50,0.037813893,0,0,0,0,0,0,0
2024-04-01 3:00,0.082577221,0,0,0,0,0,0,0
2024-04-01 3:10,0.223429158,0,0,0.041689234,0.09089626,0.04926982,0.065097244,0.065097244
2024-04-01 3:20,0.351613361,0,0,0.056983823,0,0,0,0
2024-04-01 3:30,0.440235611,0.061350977,0,0.246167604,0,0.065097244,0.139149296,0.139149296
2024-04-01 3:40,0.394833406,0,0,0.218625879,0,0.047187515,0,0
2024-04-01 3:50,0.408254441,0,0,0.072327056,0,0.058612243,0,0
2024-04-01 4:00,0.276876908,0,0,0.102457571,0,0.111978225,0,0
2024-04-01 4:10,0.206491145,0,0,0,0,0,0,0
2024-04-01 4:20,0.11642475,0,0,0,0,0,0,0
2024-04-01 4:30,0.120256915,0,0,0,0,0,0.032561227,0.032561227
2024-04-01 4:40,0.229331741,0.081981309,0.050318382,0.172648745,0,0.051768222,0.115762455,0.115762455
2024-04-01 4:50,0.394833406,0.087844139,0,0.1892845,0,0,0.131652901,0.131652901
