PCTimeStamp       ,HD01_Ambient WindSpeed Avg. (1),HD02_Ambient WindSpeed Avg. (2),HD03_Ambient WindSpeed Avg. (3),HD04_Ambient WindSpeed Avg. (4),HD05_Ambient WindSpeed Avg. (5),HD06_Ambient WindSpeed Avg. (6),HD07_Ambient WindSpeed Avg. (7),HD08_Ambient WindSpeed Avg. (8)
2024-04-15 0:00,3.617,3.91,3.645,3.945,4.211,3.98,3.926,4.133
2024-04-15 0:10,3.566,3.59,3.57,3.758,3.797,3.582,3.711,3.922
2024-04-15 0:20,3.371,3.754,3.777,4.086,4.234,4.117,4.133,4.219
2024-04-15 0:30,3.715,3.715,3.656,3.762,3.906,3.836,4.02,3.992
2024-04-15 0:40,3.438,3.742,3.988,3.98,4.078,4.004,3.969,3.988
2024-04-15 0:50,3.613,3.848,3.918,3.801,4.25,4.32,4.137,3.895
2024-04-15 1:00,3.281,3.496,3.586,3.746,3.984,4.387,4.375,4.168
2024-04-15 1:10,3.855,3.418,3.598,3.582,3.859,4.074,4.246,4.238
2024-04-15 1:20,3.59,3.301,3.223,3.055,3.293,3.547,3.883,4.25
2024-04-15 1:30,3.566,3.121,3.547,3.109,3.59,3.301,3.488,3.941
2024-04-15 1:40,3.625,2.875,3.691,2.969,3.426,3.219,3.324,3.699
2024-04-15 1:50,3.785,3.848,4.074,3.746,3.797,3.652,3.891,4.035
2024-04-15 2:00,3.934,3.918,3.984,4.039,3.957,4.07,4.164,4.344
2024-04-15 2:10,3.727,3.418,3.984,3.785,4.012,4.156,4.297,4.266
2024-04-15 2:20,3.727,2.953,3.984,4.039,4.34,4.281,4.313,4.355
2024-04-15 2:30,3.516,3.352,4.051,3.75,4.203,4.129,4.336,4.324
2024-04-15 2:40,3.281,3.008,3.656,3.68,3.828,3.883,4.066,4.168
2024-04-15 2:50,3.465,3.414,3.48,3.578,3.707,3.504,3.465,3.832
2024-04-15 3:00,3.828,3.707,4.168,4.059,4.148,4.063,4.117,4.242
2024-04-15 3:10,3.961,2.652,4.152,3.648,4.215,4.168,4.246,4.313
2024-04-15 3:20,4.125,1.992,4.438,2.129,4.414,4.324,4.254,4.293
2024-04-15 3:30,4.129,3.672,4.508,3.957,4.711,4.449,4.465,4.473
2024-04-15 3:40,4.52,4.164,4.77,4.426,4.371,4.07,4.004,4.141
2024-04-15 3:50,4.594,4.566,4.934,4.629,4.504,4.191,4.273,4.547
2024-04-15 4:00,4.535,4.293,4.961,4.633,4.664,4.406,4.063,4.367
2024-04-15 4:10,4.195,4.066,4.328,4.262,4.113,4.074,3.988,4.465
2024-04-15 4:20,3.93,3.898,4.016,4.051,4.305,4.477,4.652,4.633
2024-04-15 4:30,4.266,4.258,4.246,4.004,4.227,4.52,4.781,4.684
2024-04-15 4:40,4.184,3.434,4.125,3.418,3.934,3.918,3.914,4.199
2024-04-15 4:50,3.957,2.922,4.184,3.734,4.16,3.855,3.762,3.898
2024-04-15 5:00,3.938,1.777,3.598,2.051,3.898,4.168,4.137,4.023
2024-04-15 5:10,3.41,2.23,3.68,2.68,3.801,3.953,3.98,3.973
2024-04-15 5:20,3.703,2.523,4.355,2.469,4.48,4.258,3.852,3.555
2024-04-15 5:30,3.848,1.902,4.418,2.547,4.352,4.105,3.555,3.055
2024-04-15 5:40,3.258,2.711,3.441,3.301,3.855,3.836,3.445,3.359
2024-04-15 5:50,2.633,2.598,3.074,2.418,2.715,2.574,2.66,2.707
2024-04-15 6:00,2.926,2.836,2.77,2.66,2.395,2.461,2.496,2.57
2024-04-15 6:10,2.777,3.109,3,3.055,2.848,2.793,2.863,2.914
2024-04-15 6:20,2.535,2.555,2.641,2.855,2.973,2.793,2.934,2.738
2024-04-15 6:30,3.145,3.199,3,3.184,3.305,3.117,2.941,2.574
2024-04-15 6:40,3.348,3.383,3.285,3.301,3.344,3.25,2.961,2.426
2024-04-15 6:50,3.078,3.156,3.309,3.121,3.012,2.75,2.398,2.398
2024-04-15 7:00,2.988,2.941,2.781,2.832,2.789,2.25,1.477,2.152
2024-04-15 7:10,2.805,2.598,2.652,2.355,2.332,2.352,2.078,2.121
2024-04-15 7:20,3.031,3.441,2.762,2.473,2.875,2.492,1.957,1.758
2024-04-15 7:30,3.125,2.668,2.875,2.348,2.898,2.254,2.078,2.117
2024-04-15 7:40,2.715,3.27,3.047,2.895,3.207,2.648,2.516,2.641
2024-04-15 7:50,3.379,3.102,2.801,2.543,2.586,2.539,2.656,3.266
2024-04-15 8:00,3.191,3.254,2.172,3.285,3.867,3.156,3.066,3.141
2024-04-15 8:10,2.852,2.605,3.078,3.609,3.445,3.551,2.449,2.941
2024-04-15 8:20,3.016,3.773,3.742,3.508,4.285,4.266,3.699,3.594
2024-04-15 8:30,3.75,3.988,3.691,3.848,3.688,3.766,3.57,3.707
2024-04-15 8:40,3.84,3.813,3.98,4.219,3.836,3.848,3.707,3.586
2024-04-15 8:50,4.25,4.184,4.133,3.215,3.391,3.484,3.863,3.387
2024-04-15 9:00,3.617,4.152,3.734,3.801,3.328,3.406,3.695,3.516
2024-04-15 9:10,2.805,3.113,3.703,3.047,3.988,4.027,4.016,3.656
2024-04-15 9:20,3.445,4.18,3.984,4.34,3.895,3.609,4,4.102
2024-04-15 9:30,4.25,4.285,4.258,4.215,4.535,4.543,4.176,4.438
2024-04-15 9:40,4.656,4.965,4.711,4.383,4.355,4.324,4.34,4.719
2024-04-15 9:50,4.633,5.16,4.926,5.098,4.566,4.309,4.891,5.066
2024-04-15 10:00,5.16,5.039,5.043,4.879,4.336,5.367,4.672,5.098
2024-04-15 10:10,4.102,4.359,4.117,5.055,4.762,4.93,4.723,4.863
2024-04-15 10:20,4.738,4.832,4.762,5.184,5.227,5.02,5.242,4.605
2024-04-15 10:30,4.863,5.539,4.742,5.125,4.961,4.988,5.066,4.848
2024-04-15 10:40,4.832,5.348,5.176,4.703,4.781,5.098,5.199,5.047
2024-04-15 10:50,4.609,5.355,5.129,5.195,5.512,5.531,5.488,5.133
2024-04-15 11:00,4.969,5.871,5.266,4.914,5.297,5.559,5.715,5.434
2024-04-15 11:10,4.648,5.332,4.832,5.051,4.938,4.93,4.91,5.387
2024-04-15 11:20,5.289,4.805,5.262,5.637,5.066,5.828,5.707,6.02
2024-04-15 11:30,5.504,5.441,5.152,5.617,5.48,5.957,5.656,6.113
2024-04-15 11:40,4.641,5.398,5.16,5.246,5.152,5.203,5.301,5.402
2024-04-15 11:50,5.77,6.391,5.859,5.457,6.066,6.238,6.098,5.566
2024-04-15 12:00,6.016,6.148,5.898,5.93,5.738,6.051,5.777,6.047
2024-04-15 12:10,5.449,5.832,4.984,4.875,5.281,6.137,5.563,5.914
2024-04-15 12:20,5.27,5.535,5.508,5.051,5.523,5.539,5.383,5.129
2024-04-15 12:30,5.09,5.602,5.543,5.09,5.453,5.961,5.438,5.059
2024-04-15 12:40,5.375,5.816,5.418,5.344,5.742,5.27,5.047,5.266
2024-04-15 12:50,5.125,5.25,5.32,5.77,6.012,5.82,5.277,5.273
