PCTimeStamp       ,HD01_Ambient WindSpeed Avg. (1),HD02_Ambient WindSpeed Avg. (2),HD03_Ambient WindSpeed Avg. (3),HD04_Ambient WindSpeed Avg. (4),HD05_Ambient WindSpeed Avg. (5),HD06_Ambient WindSpeed Avg. (6),HD07_Ambient WindSpeed Avg. (7),HD08_Ambient WindSpeed Avg. (8),Column1
26-Apr-24,4.168,3.605,4.336,4.074,4.078,3.98,3.582,3.891,
2024-04-26 0:10,3.91,3.898,3.809,3.574,3.563,3.262,3.559,4.023,
2024-04-26 0:20,3.473,3.465,3.398,3.258,3.285,3.703,3.84,3.82,
2024-04-26 0:30,3.152,3.246,3.473,3.762,4.023,3.898,3.793,3.504,
2024-04-26 0:40,3.586,3.184,3.488,3.379,3.723,3.914,3.766,3.672,
2024-04-26 0:50,3.73,3.762,3.805,3.621,3.813,4.008,4.02,3.684,
2024-04-26 1:00,3.789,3.582,3.742,3.629,3.723,3.926,4.051,4.105,
2024-04-26 1:10,3.691,3.559,3.73,3.582,3.656,3.66,3.863,3.871,
2024-04-26 1:20,4.27,3.84,4.031,3.535,3.859,3.793,4.227,4.344,
2024-04-26 1:30,4.328,3.434,4.289,3.633,4.359,4.258,4.078,4.223,
2024-04-26 1:40,4.23,2.598,4.191,2.738,3.918,3.883,3.883,4.109,
2024-04-26 1:50,3.375,1.574,3.824,2.117,4.121,4.043,3.578,3.613,
2024-04-26 2:00,3.367,2.02,3.316,1.969,3.563,3.645,3.324,3.555,
2024-04-26 2:10,3.355,1.871,2.941,2.195,3.703,3.699,2.867,3.336,
2024-04-26 2:20,3.566,1.66,3.273,1.563,3.422,2.492,1.988,3.539,
2024-04-26 2:30,3.504,1.422,3.414,1.5,3.34,2.582,3.242,3.254,
2024-04-26 2:40,3.492,1.555,3.309,1.469,3.844,3.586,2.559,3.199,
2024-04-26 2:50,3.879,1.805,3.387,1.324,4.043,4.09,3.551,3.672,
2024-04-26 3:00,4.184,2.316,3.301,1.633,3.723,3.313,3.273,3.988,
2024-04-26 3:10,4.207,2.531,3.906,2.188,4,3.863,2.664,3.652,
2024-04-26 3:20,3.77,2.063,4.059,3.035,4.289,4.32,4.223,4.223,
2024-04-26 3:30,3.793,2,3.762,1.344,3.988,3.898,3.055,3.973,
2024-04-26 3:40,4.367,1.98,3.805,2.016,3.848,3.781,3.371,3.824,
2024-04-26 3:50,3.871,1.563,3.629,1.551,3.395,2.848,2.688,2.723,
2024-04-26 4:00,3.398,1.883,3.582,1.742,3.387,3.055,3.121,3.414,
2024-04-26 4:10,3.805,2.008,3.332,1.922,3.484,3.414,3.531,3.957,
2024-04-26 4:20,3.926,2.988,4.184,3.492,4.078,4.098,4.086,4.199,
2024-04-26 4:30,3.852,2.121,3.938,2.16,4.285,4.262,4.016,4.27,
2024-04-26 4:40,3.824,1.582,3.641,1.848,3.539,3.469,2.332,3.602,
2024-04-26 4:50,3.406,1.914,1.844,2.227,2.523,2.387,2.133,3.066,
2024-04-26 5:00,3.461,2.105,1.816,2.035,2.414,2.48,2.23,2.199,
2024-04-26 5:10,3.375,1.906,2.309,2.184,3.043,2.828,2.746,2.445,
2024-04-26 5:20,3.598,1.836,2.863,2.164,3.148,2.902,2,3.031,
