PCTimeStamp       ,HD01_Ambient WindSpeed Avg. (1),HD02_Ambient WindSpeed Avg. (2),HD03_Ambient WindSpeed Avg. (3),HD04_Ambient WindSpeed Avg. (4),HD05_Ambient WindSpeed Avg. (5),HD06_Ambient WindSpeed Avg. (6),HD07_Ambient WindSpeed Avg. (7),HD08_Ambient WindSpeed Avg. (8)
2024-04-04 0:00,4.332,3.199,4.465,2.773,4.539,4.68,4.313,4.773
2024-04-04 0:10,4.355,3.047,4.547,3.266,4.848,5.004,4.98,4.984
2024-04-04 0:20,4.605,3.211,4.73,3.539,4.949,5.09,5.039,4.879
2024-04-04 0:30,4.957,3.941,5.285,4.621,5.219,4.98,4.863,4.898
2024-04-04 0:40,4.949,3.82,5.34,4.941,5.219,4.867,4.977,5.152
2024-04-04 0:50,4.566,3.336,4.93,4.621,4.891,4.727,4.758,4.941
2024-04-04 1:00,5.254,4.281,4.715,4.066,4.535,4.566,4.512,4.645
2024-04-04 1:10,4.699,3.84,4.727,4.078,4.199,3.945,4.113,4.406
2024-04-04 1:20,4.453,2.727,4.375,3.211,4.125,3.699,3.668,4.063
2024-04-04 1:30,4.379,2.652,4.395,3.523,4.301,3.941,3.711,3.895
2024-04-04 1:40,4.559,3,4.203,2.926,4.559,4.355,3.73,3.695
2024-04-04 1:50,4.395,3.18,4.313,3.555,4.355,4.086,4.145,3.863
2024-04-04 2:00,4.371,3.449,4.445,3.32,4.441,3.984,3.941,4
2024-04-04 2:10,4.078,2.855,4.063,2.855,4.41,4.266,3.813,3.75
2024-04-04 2:20,4.285,1.738,4.191,2.344,4.516,4.16,3.777,3.688
2024-04-04 2:30,4.07,1.992,3.691,2.129,4.219,4.266,3.438,4.32
2024-04-04 2:40,4.18,1.715,3.887,2.02,3.914,3.203,2.32,4.195
2024-04-04 2:50,4.727,2.043,4,2.051,4.242,4.441,3.754,4.672
2024-04-04 3:00,4.566,2.145,3.629,1.801,3.738,2.781,2.422,3.047
2024-04-04 3:10,4.594,2.172,2.715,1.957,2.949,2.129,2.332,2.848
2024-04-04 3:20,4.383,2.199,2.68,1.738,3.281,3.055,2.906,2.719
2024-04-04 3:30,3.973,1.789,1.91,2.414,2.426,2.676,1.539,2.094
2024-04-04 3:40,4.113,1.953,2.215,2.391,2.199,2.629,2.672,2.621
2024-04-04 3:50,4.344,2.285,2.254,2.688,2.195,2.73,2.789,2.52
2024-04-04 4:00,4.664,2.172,2.402,2.414,2.77,3.27,2.801,2.734
2024-04-04 4:10,4.957,2.203,2.207,2.949,2.949,2.766,3.125,3.023
2024-04-04 4:20,5.242,2.32,1.645,3.551,2.52,2.762,3.129,3.191
2024-04-04 4:30,4.824,2.141,2.016,3.668,2.848,2.852,3.066,2.582
2024-04-04 4:40,4.605,2.219,1.93,2.906,2.242,2.43,2.516,2.059
2024-04-04 4:50,4.414,3.621,2.227,3.703,2.461,3.188,2.953,2.766
2024-04-04 5:00,4.391,2.285,1.789,3.191,1.852,2.648,2.996,3.27
2024-04-04 5:10,3.992,1.98,2.137,2.605,2.32,2.68,2.695,3.355
2024-04-04 5:20,4.535,2.219,2.43,2.23,2.328,2.84,1.336,2.449
