PCTimeStamp       ,HD01_Ambient WindSpeed Avg. (1),HD02_Ambient WindSpeed Avg. (2),HD03_Ambient WindSpeed Avg. (3),HD04_Ambient WindSpeed Avg. (4),HD05_Ambient WindSpeed Avg. (5),HD06_Ambient WindSpeed Avg. (6),HD07_Ambient WindSpeed Avg. (7),HD08_Ambient WindSpeed Avg. (8),Column1
2024-04-27 0:00,3.195,1.738,1.891,2.273,2.285,2.527,2.527,2.91,
2024-04-27 0:10,3.27,1.824,1.953,2.254,2.664,2.785,2.621,3.199,
2024-04-27 0:20,3.305,1.922,2.141,2.43,2.777,3.047,1.742,2.188,
2024-04-27 0:30,3.617,2.328,2.023,2.41,2.578,2.918,1.605,2.324,
2024-04-27 0:40,3.305,2.555,1.832,2.207,3.031,2.441,1.984,3.277,
2024-04-27 0:50,3.012,2.313,1.746,2.012,2.523,1.504,2.352,2.527,
2024-04-27 1:00,2.887,1.98,2.051,2.285,3.039,3.066,2.918,3.02,
2024-04-27 1:10,2.395,1.531,1.973,2.188,2.016,1.996,1.703,1.777,
2024-04-27 1:20,2.266,2.016,2.078,2.09,1.816,1.801,1.582,1.684,
2024-04-27 1:30,2.199,2.207,2.113,1.945,1.648,1.566,1.578,1.625,
2024-04-27 1:40,1.758,1.727,1.813,1.805,1.418,1.367,1.301,1.531,
2024-04-27 1:50,1.535,1.527,1.539,1.621,1.652,1.672,1.473,1.344,
2024-04-27 2:00,1.664,1.645,1.668,1.617,1.566,1.648,1.652,1.797,
2024-04-27 2:10,1.383,1.449,1.527,1.621,1.5,1.414,1.531,1.813,
2024-04-27 2:20,1.395,1.41,1.418,1.383,0.977,1.082,1.074,1.246,
2024-04-27 2:30,1.648,1.766,1.719,1.555,0.836,1.395,1.066,1.105,
2024-04-27 2:40,2.059,1.914,1.813,1.375,1.074,1.832,1.008,1.348,
2024-04-27 2:50,2.156,2.148,1.77,1.832,1.824,1.531,1.141,1.254,
2024-04-27 3:00,1.934,1.652,1.859,1.012,1.277,1.023,1.129,1.684,
2024-04-27 3:10,2.52,2.098,1.637,1.566,1.77,1.344,1.477,1.672,
2024-04-27 3:20,2.527,2.68,2.164,1.824,2.391,2.059,2.109,1.977,
2024-04-27 3:30,2.746,2.973,2.629,2.34,2.586,2.656,2.273,1.863,
2024-04-27 3:40,2.453,2.805,2.801,2.973,2.641,2.418,1.789,1.75,
2024-04-27 3:50,3.313,3.371,3.414,3.027,3.016,2.875,2.469,2.809,
2024-04-27 4:00,3.473,3.723,3.621,3.473,3.254,3.109,3.18,3.195,
2024-04-27 4:10,3.75,4.074,3.969,3.891,3.883,3.531,3.836,3.363,
2024-04-27 4:20,3.461,3.176,3.652,3.73,4.219,4.207,4.238,3.348,
2024-04-27 4:30,3.75,3.199,2.977,3.387,3.711,3.961,3.977,2.836,
2024-04-27 4:40,3.266,3.762,3.191,3.148,3.57,3.762,4.113,3.664,
2024-04-27 4:50,3.234,3.582,3.227,3.066,3.215,3.363,3.676,3.391,
2024-04-27 5:00,3.281,3.422,3.316,3.457,3.195,3.637,3.625,3.703,
2024-04-27 5:10,3.016,3.234,3.207,3.102,2.824,3.156,3.461,3.223,
2024-04-27 5:20,3.641,3.527,3.117,3.117,3.137,3.34,3.504,3.574,
2024-04-27 5:30,3.582,3.773,3.344,3.023,3.012,3.156,3.516,3.453,
2024-04-27 5:40,3.441,3.5,3.672,3.434,3.074,2.945,3.582,3.531,
2024-04-27 5:50,3.211,3.145,3.398,3.227,3.137,2.629,2.871,3.18,
2024-04-27 6:00,3.477,3.426,3.406,3.344,3.289,2.828,3.328,3.5,
2024-04-27 6:10,3.664,3.754,3.766,3.738,3.48,3.473,3.258,3.391,
2024-04-27 6:20,3.863,4.086,3.406,3.59,3.746,3.707,3.129,3.246,
2024-04-27 6:30,3.535,3.848,3.359,3.293,3.258,3.414,3.574,3.52,
2024-04-27 6:40,3.492,3.18,2.973,3.254,2.836,2.98,3.09,3.285,
2024-04-27 6:50,3.066,3.086,3.191,2.816,2.66,3.523,3.336,3.594,
2024-04-27 7:00,2.355,2.441,3.742,2.629,3.559,3.199,3.414,2.523,
2024-04-27 7:10,3.051,2.941,3.531,3.668,2.699,3.195,3.27,3.422,
2024-04-27 7:20,3.445,3.602,3.559,3.719,2.84,3.758,3.578,2.977,
2024-04-27 7:30,3.59,3.461,3.484,3.211,3.5,3.477,3.559,3.207,
2024-04-27 7:40,2.918,3.359,3.332,3.105,3.34,3.613,2.625,2.938,
2024-04-27 7:50,3.422,3.387,3.672,3.773,3.578,3.695,3.461,3.52,
2024-04-27 8:00,3.621,3.836,3.352,3.707,3.824,4.012,3.887,3.566,
2024-04-27 8:10,3.898,3.551,3.395,3.105,3.641,3.703,3.563,3.48,
2024-04-27 8:20,3.758,3.676,4.055,3.906,4.016,4.121,3.57,3.816,
2024-04-27 8:30,3.738,3.719,3.664,3.32,3.488,3.996,3.727,3.945,
2024-04-27 8:40,3.543,3.332,3.859,3.965,4,3.621,3.746,3.926,
2024-04-27 8:50,3.445,3.809,3.629,3.27,3.617,3.227,3.543,3.492,
2024-04-27 9:00,3.598,3.438,3.426,3.445,3.559,3.621,3.875,3.605,
2024-04-27 9:10,3.582,3.719,3.516,3.414,3.383,3.434,3.109,3.707,
2024-04-27 9:20,3.906,3.613,3.816,3.754,3.492,3.793,3.805,3.691,
2024-04-27 9:30,3.746,3.465,3.82,3.707,3.797,3.734,3.793,3.762,
2024-04-27 9:40,3.586,3.477,3.449,3.402,3.168,3.477,3.516,3.613,
2024-04-27 9:50,3.813,3.934,3.766,4,3.582,3.492,3.508,3.863,
2024-04-27 10:00,3.82,3.961,2.887,2.945,3.727,3.523,3.281,3.926,
2024-04-27 10:10,3.961,3.477,3.672,3.637,3.703,3.328,3.621,3.738,
2024-04-27 10:20,3.398,3.441,3.566,3.305,3.012,3.32,2.961,3.395,
2024-04-27 10:30,3.332,2.699,2.832,3.211,2.891,3.254,2.75,3.164,
2024-04-27 10:40,3.348,3.313,3.414,3.645,3.082,3.199,3.395,3.074,
2024-04-27 10:50,3.703,3.496,3.219,3.547,3.641,3.563,2.961,3.297,
2024-04-27 11:00,3.953,3.762,3.695,3.262,3.824,3.539,3.547,3.477,
2024-04-27 11:10,4.363,4.125,4.012,4.02,3.859,3.555,3.641,3.355,
2024-04-27 11:20,4.227,4.32,4.391,4.105,3.859,3.742,4.094,3.723,
2024-04-27 11:30,4.281,4.359,4.152,4.012,4.207,4.313,4.133,3.789,
2024-04-27 11:40,4.301,4.285,4.137,4.008,4.027,4.145,4.152,3.957,
2024-04-27 11:50,4.234,4.211,4.566,4.656,4.332,4.254,4.434,4.121,
2024-04-27 12:00,4.473,4.113,4.508,4.75,4.914,4.031,3.93,4.074,
2024-04-27 12:10,4.598,4.363,3.941,3.996,4.137,3.914,4.305,4.359,
2024-04-27 12:20,4.195,4.172,4.137,4.465,4.301,4.012,4.16,4.059,
2024-04-27 12:30,4.328,4.125,4.082,4.434,4.727,4.184,4.605,4.395,
2024-04-27 12:40,4.305,4.484,4.477,4.234,4.195,4.012,4.566,4.281,
2024-04-27 12:50,4.262,4.797,4.445,4.422,4.211,4.105,4.539,4.523,
2024-04-27 13:00,4.477,4.105,4.434,4.633,4.105,4.285,4.066,4.758,
2024-04-27 13:10,4.566,4.246,4.316,4.543,4.629,4.285,4.074,5.066,
2024-04-27 13:20,4.605,4.805,4.898,4.348,4.223,4.277,4.742,5.34,
2024-04-27 13:30,4.32,4.211,4.434,4.297,5.023,4.551,4.625,4.734,
2024-04-27 13:40,4.238,3.508,3.195,3.496,3.965,4.133,4.449,4.777,
